Parameter,Value,Unit
time_in,0,s
time_out,0,s
Gq_a_GDP_init,0.0027739,uM
Gq_a_GDP_init,6.4172E-4,uM
Gq_bg_init,0.0037173,uM
RGS4_init,0.019994,uM
RGS4_Gq_a_GTP_init,6.4168E-6,uM
Ca_init,0.1,uM
PLCb_init,0.090022,uM
PLCb_Gq_a_GTP_init,1.4492E-4,uM
PLCb_Ca_init,0.0093825,uM
PLCb_Ca_Gq_a_GTP_init,1.5038E-4,uM
PIP2_init,2.6578,uM
IP3_init,0.21952,uM
DAG_init,0.055555,uM
R_Gq_trimer_init,0,uM
R_L_Gq_trimer_init,0,uM
Gq_trimer_init,0.61869,uM
RL_kon,1.00,uM-1*s-1
RL_koff,0.0046,s-1
Gqa_Gqbg_kon,6.0,uM-1*s-1
Gqa_Gqbg_koff,0.0001,s-1
RL_Gq_decay,0.04,s-1
RGS4_Gq_a_GTP_kon,20.83,uM-1*s-1
RGS4_Gq_a_GTP_koff,33.32,s-1
RGS4_Gq_a_GTP_decay,8.33,s-1
Gq_a_GTP_decay,0.01,s-1
Gq_a_GTP_PLCb_kon,2.52,uM-1*s-1
Gq_a_GTP_PLCb_off,1.00,s-1
Gq_a_GTP_PLCb_Ca_kon,30.0,uM-1*s-1
Gq_a_GTP_PLCb_Ca_koff,1.00,s-1
Gq_a_GTP_PLCb_Ca_decay,0.013,s-1
PLCb_Ca_kon,3.00,uM-1*s-1
PLCb_Ca_koff,1.00,s-1
PLCb_Ca_Gq_a_GTP_kon,25.2,uM-1*s-1
PLCb_Ca_Gq_a_GTP_koff,1.00,s-1
DAG_decay,0.15,s-1
PIP2_Gq_a_GTP_PLCb_Ca_k,(48.0 * [PIP2])/(5.00 + [PIP2])),DO NOT CHANGE
PIP2_PLCb_Ca_k,(10.0 * [PIP2])/(40.13 + [PIP2])),DO NOT CHANGE
IP3_deg_k,(0.14*([IP3] - [IP3_init]))/[IP3]),DO NOT CHANGE

