Reaction number,Reaction,Forward parameters names,Reverse parameters names,Forward default values (1/(uM*s)),Reverse default values (1/s)
1,L + R <-> LR,RL_kon,RL_koff,100.0,200
3,LR + Gi <-> D2RDAGi,RL_Gi_kon,RL_Gi_koff,6600.0,200
9,LRGi -> GaiGTP + LR + Gbgi,,RL_Gi_decay,,60
13,GaolfGTP -> GaolfGDP,,GaiGTP_decay,,30
14,GaolfGDP + Gbgolf -> Golf,,Gi_formation,,100
16,AC5 + Ca <-> AC5Ca,AC5_Ca_kon,AC5_Ca_koff,1.0,0.9
21,AC5 + ATP <-> [AC5*ATP],AC5_ATP_kon,AC5_ATP_koff,0.1,1
22,[AC5*ATP] -> cAMP + AC5,,AC5_basal,,1
23,cAMP + AC5 -> [AC5*ATP],,AC5_reverse_basal,,0.0004
24,AC5Ca + ATP <-> [AC5Ca*ATP],AC5_Ca_ATP_kon,AC5_Ca_ATP_koff,0.075,1
25,[AC5Ca*ATP] -> cAMP + AC5Ca,,AC5_Ca_ATP_to_cAMP,,0.5
26,cAMP + AC5Ca -> [AC5Ca*ATP],,AC5_Ca_ATP_to_cAMP_reverse,,0.00015
30,Ca + [AC5*ATP] <-> [AC5Ca*ATP],AC5_ATP_Ca_kon,AC5_ATP_Ca_koff,1.0,0.9
37,GaiGTP + AC5 <-> AC5GaiGTP,AC5_GaiGTP_kon,AC5_GaiGTP_koff,5000,5
38,ATP + AC5GaiGTP <-> [AC5GaiGTP*ATP],AC5_GaiGTP_ATP_kon,AC5_GaiGTP_ATP_koff,0.0625,1
39,[AC5*ATP] + GaiGTP <-> [AC5GaiGTP*ATP],AC5_ATP_GaiGTP_kon,AC5_ATP_GaiGTP_koff,50000,5
40,[AC5GaiGTP*ATP] -> cAMP + AC5GaiGTP,,AC5_GaiGTP_ATP_to_cAMP,,0.25
41,cAMP + AC5GaiGTP -> [AC5GaiGTP*ATP],,AC5_GaiGTP_ATP_to_cAMP_reverse,,0.00105
42,AC5GaiGTP -> AC5 + GaiGDP,,AC5_GaiGTP_decay,,30
43,[AC5GaiGTP*ATP] -> [AC5*ATP] + GaiGDP,,AC5_GaiGTP_decay_koff,,30
55,GaiGTP + AC5Ca <-> AC5CaGaiGTP,AC5_Ca_GaiGTP_kon,AC5_Ca_GaiGTP_koff,50000,5
56,AC5CaGaiGTP + ATP <-> [AC5CaGaiGTP*ATP],AC5_Ca_GaiGTP_ATP_kon,AC5_Ca_GaiGTP_ATP_koff,0.0563,1
57,[AC5Ca*ATP] + GaiGTP <-> [AC5CaGaiGTP*ATP],AC5_Ca_ATP_GaiGTP_kon,AC5_Ca_ATP_GaiGTP_koff,50000,5
58,[AC5CaGaiGTP*ATP] -> cAMP + AC5CaGaiGTP,,AC5_Ca_GaiGTP_ATP_to_cAMP,,0.125
59,cAMP + AC5CaGaiGTP -> [AC5CaGaiGTP*ATP],,AC5_Ca_GaiGTP_ATP_to_cAMP_reverse,,2.81E-05
60,AC5CaGaiGTP -> AC5Ca + GaiGDP,,AC5_Ca_GaiGTP_decay,,30
61,[AC5CaGaiGTP*ATP] -> [AC5Ca*ATP] + GaiGDP,,AC5_Ca_GaiGTP_ATP_decay,,30
73,cAMP + PDE4 <-> [PDE4*cAMP],PDE104_cAMP_kon,PDE4_cAMP_koff,10.0,1
74,PDE10 + 2 cAMP <-> PDE10c,PDE10_2cAMP_kon,PDE10_2cAMP_koff,0.001,9
75,[PDE4*cAMP] -> PDE4 + AMP,,PDE4_cAMP_to_AMP,,2
76,cAMP + PDE10 <-> [PDE10*cAMP],PDE10_cAMP_kon,PDE10_cAMP_koff,100.0,2
77,cAMP + PDE10c <-> [PDE10c*cAMP],PDE10_2cAMP_cAMP_kon,PDE10_2cAMP_cAMP_koff,130.0,2
78,[PDE10*cAMP] -> PDE10 + AMP,,PDE10_cAMP_decay,,3
79,[PDE10c*cAMP] -> PDE10c + AMP,,PDE10_2cAMP_cAMP_decay,,10
80,cAMP + PKA <-> PKAcAMP2,PKA_cAMP2_kon,PKA_cAMP2_koff,0.26,1
81,cAMP + PKAcAMP2 <-> PKAcAMP4,PKA_cAMP4_kon,PKA_cAMP4_koff,0.346,1
82,PKAcAMP4 <-> PKAc + PKAreg,PKA_activation,PKA_activation_reverse,10000.0,0.025
