Parameter,Value,Unit
time_in,0,s
time_out,0,s
L_init,0.01,uM
R_init,2,uM
Golf_init,2,uM
AC5_init,0.7,uM
Ca_init,0.06,uM
ATP_init,5000,uM
PDE4_init,2,uM
PDE10_init,0.7,uM
PKA_init,1.2,uM
RL_kon,5.0,uM-1*s-1
RL_koff,5,s-1
RL_Golf_kon,3.0,uM-1*s-1
RL_Golf_koff,5.0,s-1
RL_Golf_decay,15,s-1
GaolfGTP_decay,30,s-1
Golf_formation,100,s-1
AC5_ATP_kon,0.1,uM-1*s-1
AC5_ATP_koff,1,uM-1*s-1
AC5_basal,1,s-1
AC5_reverse_basal,0.0004,s-1
AC5_Ca_kon,1.0,uM-1*s-1
AC5_Ca_koff,0.9,s-1
AC5_Ca_ATP_kon,0.075,uM-1*s-1
AC5_Ca_ATP_koff,1,s-1
AC5_Ca_ATP_to_cAMP,0.5,s-1
AC5_Ca_ATP_to_cAMP_reverse,0.00015,s-1
AC5_ATP_Ca_kon,1.0,uM-1*s-1
AC5_ATP_Ca_koff,0.9,
AC5_GaolfGTP_kon,200.0,uM-1*s-1
AC5_GaolfGTP_koff,0.1,
AC5_GaolfGTP_ATP_i_kon,1.05,uM-1*s-1
AC5_GaolfGTP_ATP_i_koff,1,
cAMP_formation,20,s-1
cAMP_reverse,0.084,s-1
AC5_GaolfGTP_ATP_a_kon,200.0,uM-1*s-1
AC5_GaolfGTP_ATP_a_koff,0.1,
AC5_GaolfGTP_decay,0.2,s-1
AC5_GaolfGTP_ATP_decay,0.2,s-1
AC5_Ca_GaolfGTP_kon,200.0,uM-1*s-1
AC5_Ca_GaolfGTP_koff,0.1,s-1
AC5_Ca_GaolfGTP_ATP_kon,0.55,uM-1*s-1
AC5_Ca_GaolfGTP_ATP_koff,1,s-1
AC5_CA_ATP_GaolfGTP_kon,200.0,uM-1*s-1
AC5_CA_ATP_GaolfGTP_koff,0.1,s-1
AC5_Ca_GaolfGTP_ATP_to_cAMP,10,s-1
AC5_Ca_GaolfGTP_ATP_to_cAMP_reverse,0.022,s-1
AC5_Ca_GaolfGTP_decay,0.2,s-1
AC5_Ca_GaolfGTP_ATP_decay,0.2,s-1
PDE4_cAMP_kon,10.0,uM-1*s-1
PDE4_cAMP_koff,1,s-1
PDE4_cAMP_to_AMP,2,s-1
PDE10_2cAMP_kon,0.001,uM-1*s-1
PDE10_2cAMP_koff,9,s-1
PDE10_cAMP_kon,100.0,uM-1*s-1
PDE10_cAMP_koff,2,s-1
PDE10_2cAMP_cAMP_kon,130.0,uM-1*s-1
PDE10_2cAMP_cAMP_koff,2,s-1
PDE10_cAMP_decay,3,s-1
PDE10_2cAMP_cAMP_decay,10,s-1
PKA_cAMP2_kon,0.25999999999999995,uM-1*s-1
PKA_cAMP2_koff,1,s-1
PKA_cAMP4_kon,0.34600000000000003,uM-1*s-1
PKA_cAMP4_koff,1,s-1
PKA_activation,10000.0,uM-1*s-1
PKA_activation_reverse,0.01,s-1
