Parameter,Value,Unit
time_in,50,s
time_out,51,s
L_init,0.1,uM
R_init,1.4107*0.73,uM
PIP2_init,2.6578,uM
Gq_a_GDP_init,0.0027739,uM
Gq_a_GTP_init,6.4172E-4,uM
Gq_bg_init,0.0037173,uM
RGS4_init,0.019994,uM
RGS4_Gq_a_GTP_init,6.4168E-6,uM
Ca_init,0.1,uM
CaER_init,1,uM
PLCb_init,0.090022,uM
PLCb_Gq_a_GTP_init,1.4492E-4,uM
PLCb_Ca_init,0.0093825,uM
PLCb_Ca_Gq_a_GTP_init,1.5038E-4,uM
IP3_init,0.21952,uM
DAG_init,0.055555,uM
IP3R_init,0.119,uM
R_Gq_trimer_init,1.4107*0.27,uM
R_L_Gq_trimer_init,0,uM
Gq_trimer_init,0.61869,uM
R_L_kf,1.00,uM-1*s-1
R_L_kr,2.50,s-1
R_Gq_trimer_kf,1.00,uM-1*s-1
R_Gq_trimer_kr,1.67,s-1
R_L_Gq_trimer_kf,1.0,uM-1*s-1
R_L_Gq_trimer_kr,0.0046,s-1
Gq_trimerization_k,6.0,uM-1*s-1
Gq_trimer_split_k,0.0001,s-1
R_L_Gq_trimer_split_k,0.04,s-1
RGS4_Gq_a_GTP_kf,20.83,uM-1*s-1
RGS4_Gq_a_GTP_kr,33.32,s-1
RGS4_Gq_a_GTP_diss_k,8.33,s-1
Gq_a_GTP_decay_k,0.01,s-1
Gq_a_GTP_PLCb_kf,2.52,uM-1*s-1
Gq_a_GTP_PLCb_kr,1.00,s-1
Gq_a_GTP_PLCb_Ca_kf,30.0,uM-1*s-1
Gq_a_GTP_PLCb_Ca_kr,1.00,s-1
Gq_a_GTP_PLCb_Ca_decay_k,0.013,s-1
PLCb_Ca_kf,3.00,uM-1*s-1
PLCb_Ca_kr,1.00,s-1
PLCb_Ca_Gq_a_GTP_kf,25.2,uM-1*s-1
PLCb_Ca_Gq_a_GTP_kr,1.00,s-1
DAG_deg_k,0.15,s-1
IP3R_IP3_kf,50,uM-1*s-1
IPR3_IP3_kr,6.5,s-1
IP3R_Ca_kf,20.0,uM-1*s-1
IPR3_Ca_kr,0.0806,s-1
IP3R_IP3_Ca_kf,1.0,uM-1*s-1
IPR3_IP3_Ca_kr,0.5,s-1
IP3R_Ca_IP3_kf,20.0,uM-1*s-1
IPR3_Ca_IP3_kr,14.5,s-1
v1,800,
v8,0.15,
v4,0.5,
k4,0.09,
c2,0.185,
PIP2_PLCb_Ca_k,(10.0*[PIP2])/(40.13+[PIP2])),DONOTCHANGE
PIP2_Gq_a_GTP_PLCb_Ca_k,(48.0*[PIP2])/(5.00+[PIP2])),DONOTCHANGE
IP3_deg_k,(0.14*([IP3]-[IP3_init]))/[IP3]),DONOTCHANGE
CaER_release_k,(c2*(v1*(([IP3R_IP3]/[IP3_init])**4)+v8)*([CaER]-[Ca]))),DONOTCHANGE
Ca_inwards_k,(v4*([Ca]**2)/(([Ca]**2)+(k4**2)))/[Ca]),DONOTCHANGE
